Place_Id,Tourist_Id,Rating
1,1,4.2
1,2,4.5
1,3,4.5
1,4,4.5
1,5,4.4
1,6,4.6
1,7,4.4
1,8,4.9
1,9,5.0
1,10,5.0
1,11,5.0
1,12,5.0
1,13,4.8
1,14,4.7
1,15,5.0
1,16,4.5
1,17,4.6
1,18,4.5
1,19,5.0
1,20,3.7
2,21,4.0
2,22,3.9
2,23,4.2
2,24,4.8
2,25,4.6
2,26,4.2
2,27,5.0
2,28,4.4
2,29,4.1
2,30,5.0
2,31,4.0
2,32,4.9
2,33,5.0
2,34,3.0
2,35,4.6
2,36,4.1
2,37,4.5
2,38,4.4
2,39,4.5
2,40,5.0
3,41,5.0
3,42,4.6
3,43,4.8
3,44,4.4
3,45,4.4
3,46,4.5
3,47,4.5
3,48,3.5
3,49,4.5
3,50,5.0
3,51,4.8
3,52,4.9
3,53,4.8
3,54,4.2
3,55,4.1
3,56,4.6
3,57,4.7
3,58,4.1
3,59,4.5
3,60,3.5
4,61,4.0
4,62,5.0
4,63,5.0
4,64,5.0
4,65,4.5
4,66,3.7
4,67,4.1
4,68,4.5
4,69,4.2
4,70,5.0
4,71,4.0
4,72,5.0
4,73,4.5
4,74,4.6
4,75,4.5
4,76,4.3
4,77,3.5
4,78,5.0
4,79,4.1
4,80,3.5
5,81,4.0
5,82,5.0
5,83,4.5
5,84,4.5
5,85,5.0
5,86,5.0
5,87,5.0
5,88,3.5
5,89,5.0
5,90,4.8
5,91,5.0
5,92,5.0
5,93,4.6
5,94,3.4
5,95,3.7
5,96,4.6
5,97,4.3
5,98,3.1
5,99,3.1
5,100,4.3
6,101,4.7
6,102,5.0
6,103,5.0
6,104,4.7
6,105,4.7
6,106,4.8
6,107,5.0
6,108,4.3
6,109,4.6
6,110,4.4
6,111,4.8
6,112,4.4
6,113,4.0
6,114,5.0
6,115,4.9
6,116,5.0
6,117,3.4
6,118,3.4
6,119,3.9
6,120,3.5
7,121,4.4
7,122,3.9
7,123,3.0
7,124,4.4
7,125,4.7
7,126,3.9
7,127,4.9
7,128,4.8
7,129,4.2
7,130,4.0
7,131,4.7
7,132,5.0
7,133,4.2
7,134,3.6
7,135,4.1
7,136,4.6
7,137,4.9
7,138,5.0
7,139,3.3
7,140,5.0
8,141,4.7
8,142,3.1
8,143,4.8
8,144,4.0
8,145,3.5
8,146,3.0
8,147,4.5
8,148,4.9
8,149,4.4
8,150,3.9
8,151,3.7
8,152,3.3
8,153,4.4
8,154,4.8
8,155,3.7
8,156,3.3
8,157,4.5
8,158,4.6
8,159,3.9
8,160,4.8
9,161,4.3
9,162,4.9
9,163,5.0
9,164,5.0
9,165,4.4
9,166,3.5
9,167,4.0
9,168,3.1
9,169,4.4
9,170,5.0
9,171,4.7
9,172,4.0
9,173,5.0
9,174,4.9
9,175,4.8
9,176,4.0
9,177,3.8
9,178,4.7
9,179,3.3
9,180,4.8
10,181,3.8
10,182,4.3
10,183,4.5
10,184,4.8
10,185,4.5
10,186,3.4
10,187,3.4
10,188,4.9
10,189,5.0
10,190,5.0
10,191,4.3
10,192,4.0
10,193,4.9
10,194,4.9
10,195,4.7
10,196,4.9
10,197,5.0
10,198,5.0
10,199,4.8
10,200,3.2
11,201,4.0
11,202,5.0
11,203,3.3
11,204,5.0
11,205,3.6
11,206,4.8
11,207,4.7
11,208,5.0
11,209,5.0
11,210,4.0
11,211,4.3
11,212,4.0
11,213,4.7
11,214,5.0
11,215,3.7
11,216,3.2
11,217,4.0
11,218,5.0
11,219,4.0
11,220,4.1
12,221,4.2
12,222,4.1
12,223,4.1
12,224,4.5
12,225,2.5
12,226,4.8
12,227,4.1
12,228,4.6
12,229,2.6
12,230,4.1
12,231,4.4
12,232,4.2
12,233,4.5
12,234,3.3
12,235,4.6
12,236,3.9
12,237,3.2
12,238,4.4
12,239,3.7
12,240,4.9
13,241,3.6
13,242,4.3
13,243,4.6
13,244,4.8
13,245,4.5
13,246,4.0
13,247,3.7
13,248,4.0
13,249,3.4
13,250,4.3
13,251,3.8
13,252,4.8
13,253,4.8
13,254,4.9
13,255,4.3
13,256,3.8
13,257,4.4
13,258,5.0
13,259,4.2
13,260,3.2
14,261,5.0
14,262,5.0
14,263,5.0
14,264,4.8
14,265,5.0
14,266,5.0
14,267,4.8
14,268,4.8
14,269,4.8
14,270,5.0
14,271,5.0
14,272,4.9
14,273,4.9
14,274,4.4
14,275,4.5
14,276,5.0
14,277,4.0
14,278,5.0
14,279,4.0
14,280,4.5
15,281,5.0
15,282,4.5
15,283,4.4
15,284,5.0
15,285,5.0
15,286,4.4
15,287,4.4
15,288,4.4
15,289,4.9
15,290,4.7
15,291,4.4
15,292,4.7
15,293,4.8
15,294,4.3
15,295,3.6
15,296,3.6
15,297,3.6
15,298,3.4
15,299,4.2
15,300,5.0
16,301,5.0
16,302,4.2
16,303,5.0
16,304,4.7
16,305,5.0
16,306,4.8
16,307,4.9
16,308,4.2
16,309,4.4
16,310,4.2
16,311,3.1
16,312,4.7
16,313,3.1
16,314,4.4
16,315,3.3
16,316,3.9
16,317,4.5
16,318,3.7
16,319,3.8
16,320,4.6
17,1,4.3
17,2,4.0
17,3,4.0
17,4,5.0
17,5,5.0
17,6,5.0
17,7,5.0
17,8,4.8
17,9,4.2
17,10,3.2
17,11,4.7
17,12,4.7
17,13,3.7
17,14,4.9
17,15,3.5
17,16,3.9
17,17,4.0
17,18,4.5
17,19,4.5
17,20,4.9
18,21,5.0
18,22,5.0
18,23,4.5
18,24,4.9
18,25,4.4
18,26,4.8
18,27,4.4
18,28,5.0
18,29,5.0
18,30,5.0
18,31,4.9
18,32,4.6
18,33,4.4
18,34,5.0
18,35,5.0
18,36,4.7
18,37,3.3
18,38,3.4
18,39,3.2
18,40,4.5
19,41,4.6
19,42,3.2
19,43,4.3
19,44,4.1
19,45,5.0
19,46,3.6
19,47,4.2
19,48,4.8
19,49,4.4
19,50,4.5
19,51,5.0
19,52,5.0
19,53,5.0
19,54,4.7
19,55,4.2
19,56,5.0
19,57,4.3
19,58,5.0
19,59,5.0
19,60,3.5
20,61,5.0
20,62,4.6
20,63,4.1
20,64,5.0
20,65,4.2
20,66,5.0
20,67,4.9
20,68,5.0
20,69,5.0
20,70,5.0
20,71,4.7
20,72,4.2
20,73,5.0
20,74,3.0
20,75,4.3
20,76,4.7
20,77,3.4
20,78,4.6
20,79,4.0
20,80,3.9
21,81,3.4
21,82,4.2
21,83,3.9
21,84,4.1
21,85,4.2
21,86,4.9
21,87,4.4
21,88,4.2
21,89,4.3
21,90,4.6
21,91,4.7
21,92,4.8
21,93,3.3
21,94,3.2
21,95,4.7
21,96,4.8
21,97,4.9
21,98,3.8
21,99,3.6
21,100,5.0
22,101,4.4
22,102,4.5
22,103,4.8
22,104,5.0
22,105,3.4
22,106,5.0
22,107,4.0
22,108,5.0
22,109,5.0
22,110,5.0
22,111,4.3
22,112,3.8
22,113,5.0
22,114,5.0
22,115,4.1
22,116,5.0
22,117,5.0
22,118,4.1
22,119,5.0
22,120,5.0
23,121,5.0
23,122,5.0
23,123,5.0
23,124,5.0
23,125,5.0
23,126,5.0
23,127,5.0
23,128,4.7
23,129,5.0
23,130,4.1
23,131,5.0
23,132,5.0
23,133,4.5
23,134,4.5
23,135,5.0
23,136,5.0
23,137,4.5
23,138,4.6
23,139,3.5
23,140,4.9
24,141,4.9
24,142,5.0
24,143,5.0
24,144,5.0
24,145,3.5
24,146,3.5
24,147,4.9
24,148,5.0
24,149,5.0
24,150,3.5
24,151,4.6
24,152,5.0
24,153,4.9
24,154,5.0
24,155,4.4
24,156,4.6
24,157,4.5
24,158,4.1
24,159,5.0
24,160,5.0
25,161,3.1
25,162,3.5
25,163,4.7
25,164,4.7
25,165,4.2
25,166,3.4
25,167,3.2
25,168,4.6
25,169,3.2
25,170,3.4
25,171,4.6
25,172,3.7
25,173,3.6
25,174,4.6
25,175,4.7
25,176,4.8
25,177,3.2
25,178,4.1
25,179,4.1
25,180,4.5
26,181,4.8
26,182,4.4
26,183,5.0
26,184,5.0
26,185,5.0
26,186,5.0
26,187,3.9
26,188,5.0
26,189,5.0
26,190,3.7
26,191,3.7
26,192,4.8
26,193,3.5
26,194,4.0
26,195,4.1
26,196,4.4
26,197,3.1
26,198,3.2
26,199,3.1
26,200,3.4
27,201,4.2
27,202,4.0
27,203,3.7
27,204,3.6
27,205,4.1
27,206,5.0
27,207,4.5
27,208,5.0
27,209,4.2
27,210,3.7
27,211,4.5
27,212,4.4
27,213,3.3
27,214,4.5
27,215,4.4
27,216,3.9
27,217,4.9
27,218,4.2
27,219,4.1
27,220,3.8
28,221,5.0
28,222,4.4
28,223,5.0
28,224,4.8
28,225,5.0
28,226,5.0
28,227,3.7
28,228,3.7
28,229,4.5
28,230,4.1
28,231,4.7
28,232,3.5
28,233,4.1
28,234,4.7
28,235,3.4
28,236,3.6
28,237,3.3
28,238,3.2
28,239,4.6
28,240,4.9
29,241,5.0
29,242,5.0
29,243,5.0
29,244,5.0
29,245,4.9
29,246,4.2
29,247,5.0
29,248,5.0
29,249,5.0
29,250,5.0
29,251,4.1
29,252,5.0
29,253,4.6
29,254,4.5
29,255,5.0
29,256,5.0
29,257,4.5
29,258,4.9
29,259,4.4
29,260,5.0
30,261,4.1
30,262,5.0
30,263,5.0
30,264,5.0
30,265,5.0
30,266,5.0
30,267,5.0
30,268,5.0
30,269,5.0
30,270,5.0
30,271,3.6
30,272,4.1
30,273,4.6
30,274,3.9
30,275,3.1
30,276,4.3
30,277,3.0
30,278,3.2
30,279,3.5
30,280,4.2
31,281,3.1
31,282,3.5
31,283,3.7
31,284,4.0
31,285,4.4
31,286,4.7
31,287,3.9
31,288,4.6
31,289,3.8
31,290,4.6
31,291,5.0
31,292,3.3
31,293,4.4
31,294,3.2
31,295,3.7
31,296,3.9
31,297,4.4
31,298,4.9
31,299,3.1
31,300,3.8
32,301,5.0
32,302,5.0
32,303,5.0
32,304,5.0
32,305,3.2
32,306,4.9
32,307,3.7
32,308,5.0
32,309,4.2
32,310,5.0
32,311,5.0
32,312,3.8
32,313,5.0
32,314,5.0
32,315,5.0
32,316,3.8
